fid,LENGTH,FEATURES,y,x,mgrs
"38",249.5621,Highway,"27.80524670","84.87945959",45RTL9110277432
"38",249.5621,Highway,"27.80538124","84.88029795",45RTL9118577446
"39",587.9763,Highway,"27.80746357","84.96861108",45RTL9989077529
"39",587.9763,Highway,"27.80688906","84.96850005",45RTL9987877466
"39",587.9763,Highway,"27.80676740","84.96847550",45RTL9987677452
"39",587.9763,Highway,"27.80667269","84.96846959",45RTL9987577442
"39",587.9763,Highway,"27.80662293","84.96848818",45RTL9987777436
"39",587.9763,Highway,"27.80659774","84.96854060",45RTL9988277433
"39",587.9763,Highway,"27.80657014","84.96861647",45RTL9988977430
"39",587.9763,Highway,"27.80650514","84.96887722",45RTL9991577423
"39",587.9763,Highway,"27.80647939","84.96901020",45RTL9992877420
"39",587.9763,Highway,"27.80645381","84.96911970",45RTL9993977417
"39",587.9763,Highway,"27.80640574","84.96921886",45RTL9994877411
"39",587.9763,Highway,"27.80636011","84.96929013",45RTL9995577406
"39",587.9763,Highway,"27.80629187","84.96937008",45RTL9996377398
"39",587.9763,Highway,"27.80596250","84.96969064",45RTL9999477361
"39",587.9763,Highway,"27.80576287","84.96984618",45RUL0000977339
"39",587.9763,Highway,"27.80566517","84.96994489",45RUL0001977328
"39",587.9763,Highway,"27.80549956","84.97007662",45RUL0003177309
"39",587.9763,Highway,"27.80537906","84.97020875",45RUL0004477296
"39",587.9763,Highway,"27.80520833","84.97042606",45RUL0006577276
"39",587.9763,Highway,"27.80481239","84.97090777",45RUL0011277232
"39",587.9763,Highway,"27.80468496","84.97106394",45RUL0012777217
"39",587.9763,Highway,"27.80458739","84.97114363",45RUL0013577206
"39",587.9763,Highway,"27.80450577","84.97119999",45RUL0014077197
"39",587.9763,Highway,"27.80439032","84.97125604",45RUL0014577184
"39",587.9763,Highway,"27.80430214","84.97128380",45RUL0014877175
"39",587.9763,Highway,"27.80419140","84.97131136",45RUL0015177162
"39",587.9763,Highway,"27.80408985","84.97131553",45RUL0015177151
"39",587.9763,Highway,"27.80398854","84.97128609",45RUL0014877140
"39",587.9763,Highway,"27.80390988","84.97124226",45RUL0014377131
"39",587.9763,Highway,"27.80382025","84.97115583",45RUL0013577121
"39",587.9763,Highway,"27.80369038","84.97101704",45RUL0012177107
"39",587.9763,Highway,"27.80359428","84.97088743",45RUL0010877097
"39",587.9763,Highway,"27.80351791","84.97083918",45RUL0010377088
"40",626.39,Highway,"27.80359843","84.93763036",45RTL9683177152
"40",626.39,Highway,"27.80376913","84.93807455",45RTL9687577170
"40",626.39,Highway,"27.80385794","84.93828463",45RTL9689677179
"40",626.39,Highway,"27.80388198","84.93839900",45RTL9690777182
"40",626.39,Highway,"27.80389942","84.93848986",45RTL9691677184
"40",626.39,Highway,"27.80390564","84.93857046",45RTL9692477184
"40",626.39,Highway,"27.80390564","84.93857046",45RTL9692477184
"40",626.39,Highway,"27.80390476","84.93869921",45RTL9693777184
"40",626.39,Highway,"27.80388659","84.93971201",45RTL9703677180
"40",626.39,Highway,"27.80390106","84.93990749",45RTL9705677182
"40",626.39,Highway,"27.80392455","84.94010242",45RTL9707577184
"40",626.39,Highway,"27.80395731","84.94026000",45RTL9709077187
"40",626.39,Highway,"27.80399479","84.94038845",45RTL9710377191
"40",626.39,Highway,"27.80402341","84.94049335",45RTL9711477194
"40",626.39,Highway,"27.80405679","84.94056024",45RTL9712077198
"40",626.39,Highway,"27.80411712","84.94064638",45RTL9712977204
"40",626.39,Highway,"27.80418882","84.94071868",45RTL9713677212
"40",626.39,Highway,"27.80449146","84.94100164",45RTL9716577245
"40",626.39,Highway,"27.80463706","84.94115512",45RTL9718077261
"40",626.39,Highway,"27.80486325","84.94140000",45RTL9720477286
"40",626.39,Highway,"27.80528886","84.94184577",45RTL9724977332
"40",626.39,Highway,"27.80547719","84.94201865",45RTL9726777353
"40",626.39,Highway,"27.80585645","84.94231243",45RTL9729677394
"40",626.39,Highway,"27.80596631","84.94241296",45RTL9730677406
"40",626.39,Highway,"27.80605809","84.94251841",45RTL9731777416
"40",626.39,Highway,"27.80623443","84.94279522",45RTL9734577435
"41",1001.989,Highway,"27.80604063","84.89807505",45RTL9293877489
"41",1001.989,Highway,"27.80577398","84.89883528",45RTL9301277458
"41",1001.989,Highway,"27.80565209","84.89919139",45RTL9304777444
"41",1001.989,Highway,"27.80561460","84.89940484",45RTL9306877439
"41",1001.989,Highway,"27.80560477","84.89952844",45RTL9308077438
"41",1001.989,Highway,"27.80558576","84.89967608",45RTL9309577435
"41",1001.989,Highway,"27.80558023","84.89983270",45RTL9311077435
"41",1001.989,Highway,"27.80557930","84.89997541",45RTL9312477434
"41",1001.989,Highway,"27.80559181","84.90013282",45RTL9314077435
"41",1001.989,Highway,"27.80569273","84.90091828",45RTL9321777445
"41",1001.989,Highway,"27.80572978","84.90111712",45RTL9323777449
"41",1001.989,Highway,"27.80577124","84.90133312",45RTL9325877453
"41",1001.989,Highway,"27.80579475","84.90153312",45RTL9327877455
"41",1001.989,Highway,"27.80579475","84.90153312",45RTL9327877455
"41",1001.989,Highway,"27.80579379","84.90168027",45RTL9329277455
"41",1001.989,Highway,"27.80575548","84.90236499",45RTL9336077450
"41",1001.989,Highway,"27.80566757","84.90338738",45RTL9346077438
"41",1001.989,Highway,"27.80564192","84.90351530",45RTL9347377435
"41",1001.989,Highway,"27.80561636","84.90362926",45RTL9348477432
"41",1001.989,Highway,"27.80537740","84.90463581",45RTL9358377404
"41",1001.989,Highway,"27.80534209","84.90485942",45RTL9360577400
"41",1001.989,Highway,"27.80531838","84.90503492",45RTL9362277397
"41",1001.989,Highway,"27.80529151","84.90534868",45RTL9365377393
