id,X,Y,Z,length,bridge,tunnel,grade,hz. angle,speed,time,
1778,540163.1249,3099739.94,457.524,89.36492905,0,0,1.258883112,18.42822733,80,4.021421807,125303.0035
1779,540123.1536,3099739.94,458,39.97413413,0,0,1.190770007,26.53849803,68.47380525,2.101634083,125342.9776
1780,540083.1822,3099739.94,458.044,39.97142422,0,0,0.11007864,0,80,1.79871409,125382.9491
1781,540043.2109,3099739.94,458.093,39.97133003,0,0,0.122587865,0,80,1.798709852,125422.9204
1782,540003.2396,3099739.94,458.716,39.9761548,0,0,1.558429026,0,80,1.798926966,125462.8965
1783,539923.2969,3099779.864,459.105,89.35833694,0,0,0.435325917,26.53789575,68.5535766,4.69253435,125552.2549
1784,539883.3256,3099859.714,459,89.29579133,0,0,-0.117586729,36.87048146,80,4.01831061,125641.5507
1785,539843.3543,3099899.638,458.303,56.49881776,0,0,-1.233654132,18.44229773,80,2.542446799,125698.0495
1786,539763.4116,3099939.563,459.109,89.36157197,0,0,0.901953695,18.42761009,80,4.021270738,125787.4111
1787,539723.4403,3099939.563,460.503,39.9956005,0,0,3.485383348,26.53846939,68.13720122,2.113150515,125827.4067
1788,539643.4977,3099979.488,460.355,89.35797012,0,0,-0.165625965,26.53849803,68.32284348,4.708362182,125916.7646
1789,539563.555,3100019.412,461.291,89.36239229,0,0,1.047420482,0.000602286,80,4.021307653,126006.127
1790,539483.6124,3100059.337,462.781,89.37026922,0,0,1.667221116,0.000602286,80,4.021662115,126095.4973
1791,539403.6697,3100099.262,463.396,89.36005334,0,0,0.688226984,2.86E-05,80,4.0212024,126184.8573
1792,539363.6984,3100099.262,463.632,39.97199669,0,0,0.590413338,26.53846939,68.67648879,2.095319528,126224.8293
1793,539323.727,3100099.262,465,39.99480269,0,0,3.420444428,0,80,1.799766121,126264.8241
1794,539283.7557,3100099.262,465,39.9713,0,0,0,0,80,1.7987085,126304.7954
1795,539203.8131,3100139.186,465.641,89.35969982,0,0,0.717325597,26.5379244,68.77414537,4.677556044,126394.1551
1796,539123.8704,3100179.111,465.896,89.35830086,0,0,0.285368004,0.000544989,80,4.021123539,126483.5134
1797,539043.9278,3100219.035,465.765,89.35749679,0,0,-0.146602137,0.000544989,80,4.021087355,126572.8709
1798,539003.9564,3100258.96,466.185,56.49685693,0,0,0.743404187,18.42880096,80,2.542358562,126629.3678
1799,538924.0138,3100298.885,466.556,89.35861772,0,0,0.415180997,18.42822733,80,4.021137797,126718.7264
1800,538884.0425,3100378.734,465.99,89.29662917,0,0,-0.633842515,36.86959196,80,4.018348313,126808.023
1801,538804.0998,3100418.659,466.275,89.35839151,0,0,0.318940387,36.8696206,80,4.021127618,126897.3814
1802,538764.1285,3100458.583,466.703,56.49613955,0,0,0.757573886,18.4276101,80,2.54232628,126953.8776
1803,538724.1572,3100498.508,466.719,56.49522727,0,0,0.028320976,0.00071755,80,2.542285227,127010.3728
