fid,field_1_1,Name,osm_id,ref,oneway,maxspeed,bridge,tunnel,y,x,z
199,"251",Prithvi Highway,"24811305",H04,B,"0",F,F,28.151956800000001,84.063063700000001,700.899999999999977
200,"253",Prithvi Highway,"24811305",H04,B,"0",F,F,28.151058400000000,84.063802800000005,695.899999999999977
201,"255",Prithvi Highway,"24811305",H04,B,"0",F,F,28.150786000000000,84.064069200000006,695.799999999999955
202,"257",Prithvi Highway,"24811305",H04,B,"0",F,F,28.150755100000001,84.064094400000002,695.700000000000045
203,"259",Prithvi Highway,"24811305",H04,B,"0",F,F,28.150419400000001,84.064420200000001,693.100000000000023
204,"261",Prithvi Highway,"24811305",H04,B,"0",F,F,28.150142899999999,84.064688500000003,691.600000000000023
205,"263",Prithvi Highway,"24811305",H04,B,"0",F,F,28.149768699999999,84.065042300000002,689.000000000000000
206,"265",Prithvi Highway,"24811305",H04,B,"0",F,F,28.149716999999999,84.065091199999998,688.700000000000045
207,"267",Prithvi Highway,"24811305",H04,B,"0",F,F,28.148389900000002,84.066352899999998,686.100000000000023
208,"269",Prithvi Highway,"24811305",H04,B,"0",F,F,28.148144599999998,84.066587200000001,686.000000000000000
209,"271",Prithvi Highway,"24811305",H04,B,"0",F,F,28.147187899999999,84.067621200000005,686.500000000000000
210,"273",Prithvi Highway,"24811305",H04,B,"0",F,F,28.146411700000002,84.068465300000000,685.000000000000000
211,"275",Prithvi Highway,"24811305",H04,B,"0",F,F,28.146050700000000,84.068853200000007,684.700000000000045
212,"277",Prithvi Highway,"24811305",H04,B,"0",F,F,28.145629000000000,84.069302300000004,681.299999999999955
213,"279",Prithvi Highway,"24811305",H04,B,"0",F,F,28.145172400000000,84.069804899999994,679.100000000000023
214,"281",Prithvi Highway,"24811305",H04,B,"0",F,F,28.144740400000000,84.070252400000001,678.000000000000000
215,"283",Prithvi Highway,"24811305",H04,B,"0",F,F,28.143909900000001,84.071220199999999,675.000000000000000
216,"285",Prithvi Highway,"24811305",H04,B,"0",F,F,28.143661000000002,84.071507100000005,673.600000000000023
217,"287",Prithvi Highway,"24811305",H04,B,"0",F,F,28.143370999999998,84.071843700000002,672.200000000000045
218,"289",Prithvi Highway,"24811305",H04,B,"0",F,F,28.143053500000001,84.072207000000006,666.899999999999977
219,"291",Prithvi Highway,"24811305",H04,B,"0",F,F,28.142784299999999,84.072497100000007,663.100000000000023
220,"293",Prithvi Highway,"24811305",H04,B,"0",F,F,28.142486900000002,84.072877599999998,664.799999999999955
221,"295",Prithvi Highway,"24811305",H04,B,"0",F,F,28.142081300000001,84.073333199999993,663.500000000000000
222,"297",Prithvi Highway,"24811305",H04,B,"0",F,F,28.141792100000000,84.073751999999999,662.799999999999955
223,"299",Prithvi Highway,"24811305",H04,B,"0",F,F,28.141742399999998,84.073797700000000,662.700000000000045
224,"301",Prithvi Highway,"24811305",H04,B,"0",F,F,28.141446699999999,84.074093700000006,666.100000000000023
225,"303",Prithvi Highway,"24811305",H04,B,"0",F,F,28.141147600000000,84.074360100000007,666.500000000000000
226,"305",Prithvi Highway,"24811305",H04,B,"0",F,F,28.140863700000001,84.074597999999995,666.799999999999955
227,"307",Prithvi Highway,"24811305",H04,B,"0",F,F,28.140591300000001,84.074851199999998,665.799999999999955
228,"309",Prithvi Highway,"24811305",H04,B,"0",F,F,28.140358700000000,84.075076699999997,665.000000000000000
229,"311",Prithvi Highway,"24811305",H04,B,"0",F,F,28.140132800000000,84.075316799999996,665.600000000000023
230,"313",Prithvi Highway,"24811305",H04,B,"0",F,F,28.139771900000000,84.075721500000000,664.600000000000023
231,"315",Prithvi Highway,"24811305",H04,B,"0",F,F,28.138917299999999,84.076656200000002,661.100000000000023
232,"317",Prithvi Highway,"24811305",H04,B,"0",F,F,28.138647400000000,84.076933999999994,660.899999999999977
233,"319",Prithvi Highway,"24811305",H04,B,"0",F,F,28.138464500000001,84.077121300000002,660.700000000000045
234,"321",Prithvi Highway,"24811305",H04,B,"0",F,F,28.138065699999999,84.077482700000004,658.899999999999977
235,"323",Prithvi Highway,"24811305",H04,B,"0",F,F,28.137655100000000,84.077838400000005,658.899999999999977
236,"325",Prithvi Highway,"24811305",H04,B,"0",F,F,28.136112199999999,84.079159700000005,658.000000000000000
237,"10599",Prithvi Highway,"574909741",H04,B,"0",F,F,28.135986800000001,84.079266799999999,657.200000000000045
238,"10601",Prithvi Highway,"574909741",H04,B,"0",F,F,28.135922300000001,84.079323000000002,656.799999999999955
239,"10603",Prithvi Highway,"574909741",H04,B,"0",F,F,28.135580999999998,84.079619600000001,654.500000000000000
240,"10605",Prithvi Highway,"574909741",H04,B,"0",F,F,28.134978700000001,84.080158200000000,651.899999999999977
241,"10607",Prithvi Highway,"574909741",H04,B,"0",F,F,28.134468399999999,84.080720299999996,651.399999999999977
242,"10609",Prithvi Highway,"574909741",H04,B,"0",F,F,28.133852699999998,84.081398300000004,651.000000000000000
243,"10611",Prithvi Highway,"574909741",H04,B,"0",F,F,28.132918900000000,84.082439899999997,650.000000000000000
244,"10613",Prithvi Highway,"574909741",H04,B,"0",F,F,28.132826500000000,84.082545800000005,650.100000000000023
245,"10615",Prithvi Highway,"574909741",H04,B,"0",F,F,28.132801799999999,84.082571299999998,650.200000000000045
246,"10617",Prithvi Highway,"574909741",H04,B,"0",F,F,28.132289700000001,84.083119300000007,651.000000000000000
247,"10619",Prithvi Highway,"574909741",H04,B,"0",F,F,28.131776599999998,84.083693100000005,648.899999999999977
248,"10621",Prithvi Highway,"574909741",H04,B,"0",F,F,28.130621200000000,84.084991799999997,644.200000000000045
