id,lat,lon,alt,x,y,z,length,grade,hz. angle
2128,27.938152,84.4633841,424.2,543693.8146649945,5608902.546430302,2968481.915493972,63.52359779544078,-0.7871090702546543,0.8129815392462567
2129,27.9379533,84.4637986,421.7,543654.0244091775,5608914.596481935,2968461.3321417384,46.391190882812275,-5.388954136390232,2.6585562389136723
2130,27.9378463,84.4640359,421.6,543631.3240082159,5608922.314866234,2968450.8318781536,26.17512550771835,-0.38204210318104703,1.9302213584026726
2131,27.9376317,84.4645055,424.4,543586.6711889573,5608940.373025733,2968431.1782340175,52.02150632268295,5.382389319201758,3.240430669156711
2132,27.9374614,84.4649814,422.8,543540.8035699402,5608952.321695482,2968413.791026786,50.48687114874645,-3.169140736184624,7.417796759758905
2133,27.9373071,84.4654696,416.4,543493.2422061258,5608959.335168455,2968395.718112585,51.36051361436569,-12.460934577200051,6.212756626114186
2134,27.9372208,84.4658706,410.2,543453.8922082575,5608962.166926931,2968384.3822296653,41.04806243749918,-15.104245199003644,4.272369722683245
2135,27.936745,84.4668346,403.7,543361.3605264092,5608990.293679404,2968334.8532013227,108.65703382165788,-5.982125382392317,12.791538227601833
2136,27.9362666,84.467572,395.3,543290.8624440209,5609014.734037803,2968284.1799233486,90.19474396947064,-9.313181267905403,2.212828638520538
2137,27.9359586,84.4681567,391.4,543234.8390889904,5609032.836931119,2968252.262266029,66.97064957174082,-5.823446576880288,1.2132058710198228
2138,27.9355092,84.4691919,384.8,543135.193896632,5609060.175505147,2968205.2653134596,113.51332759146608,-5.814295237430915,2.5651515691616797
2139,27.9349005,84.4702399,383.9,543035.5805936405,5609100.914672641,2968145.3753402056,123.16370730583836,-0.7307347429589521,6.901132955660172
2140,27.9342601,84.4710269,381.1,542961.5148362193,5609139.152785572,2968081.497947896,105.01528913067581,-2.6662784278161378,5.062818116136621
2141,27.93356,84.4717929,369.6,542889.0633792093,5609172.638397275,2968007.7121373555,108.69611608083518,-10.579954845348544,2.5006284115821393
2142,27.9332735,84.4720944,370.1,542861.0287500967,5609190.805857379,2967979.9556838176,43.43291089859346,1.1512007591832674,8.139272326882129
2143,27.9332408,84.4721393,371.7,542856.9335286431,5609194.335604599,2967977.5104395864,5.933731839217925,26.96448109476495,7.813953684090828
2144,27.9331462,84.4723307,377.6,542839.1729865491,5609206.2476751,2967971.031923166,22.34514385983654,26.403947260347575,6.908735913487141
2145,27.9330964,84.4725654,379.7,542816.6249166052,5609212.902865894,2967967.150233396,23.82802002199976,8.81315358162824,17.405659694744934
2146,27.9329823,84.4729959,372.3,542774.4226684651,5609216.396182029,2967952.536311311,44.797318272332845,-16.518845960853582,11.712359820948956
2147,27.9327531,84.4733807,371.3,542737.8170175588,5609231.0586255295,2967929.6752130487,45.58059610682054,-2.1939160200021233,17.09673344268111
2148,27.9326285,84.4735307,371.2,542723.7493252844,5609238.858903115,2967917.4550277893,20.200921367787494,-0.49502692565044737,7.178927468716485
2149,27.932413,84.473825,367.9,542695.738865223,5609249.929980685,2967894.8549619718,37.655246731061084,-8.763718967423218,7.441256268094196
2150,27.9322419,84.4740292,366.7,542676.5048013588,5609259.689643335,2967877.57643944,27.635983222141537,-4.342165033008728,5.337635580069039
2151,27.9316862,84.4747699,363.5,542606.5080478407,5609292.733530514,2967821.785632673,95.41518800833444,-3.353763763186707,1.6330064025360458
2152,27.931362,84.4751759,365.7,542568.5751248464,5609315.339962183,2967791.141702486,53.7494916904407,4.093061963581801,5.522231172123091
2153,27.9308742,84.4758219,363.3,542507.5755329798,5609344.664368273,2967742.3591223233,83.43027704486876,-2.876653518373502,5.1181244119186164
2154,27.9306008,84.4761593,362.2,542475.8222891187,5609361.0815385645,2967715.13242262,44.934231414717715,-2.448022288058386,1.6649769317858716
2155,27.9301506,84.4767762,363.6,542417.8051180848,5609391.519104415,2967671.803038352,78.5485397106838,1.7823373994686915,0.3428429091897295
2156,27.9297484,84.4773549,364.4,542363.2353246865,5609418.5752751995,2967632.8821122586,72.2823437434849,1.106770974166235,1.310257015796295
2157,27.9296442,84.4774931,364.9,542350.270540879,5609425.73116345,2967622.9357600557,17.83878577616527,2.8028813523174834,2.523812053729967
2158,27.9294565,84.4778037,364.6,542320.7781892463,5609438.148935363,2967604.456558069,36.95241223747073,-0.8118549827600876,6.062865350391686
2159,27.9292873,84.4781434,361.6,542288.1143560929,5609447.507324687,2967586.5201894147,38.421592464836024,-7.80810947059428,6.846220773816486
2160,27.9289569,84.4788302,358.6,542222.2767996027,5609468.516491162,2967552.8341707345,76.88118609306876,-3.902125022327752,1.7108669640101062
2161,27.9286576,84.4795389,358.7,542154.4021927451,5609490.844113213,2967523.638593307,77.1872185264251,0.12955512830888033,0.5106255116219159
2162,27.9285351,84.479785,359.9,542131.0244105424,5609500.585623923,2967512.23203433,27.776380601684842,4.3202172997557495,4.412642727761988
2163,27.9283502,84.4802303,359.5,542088.3209634139,5609514.043062527,2967493.9793958045,48.35127571817755,-0.827279102895724,5.129898098321181
2164,27.9282407,84.4804345,359.2,542068.8525202607,5609521.3939987095,2967483.140389654,23.463601511814797,-1.2785760951870504,3.194069274476849
2165,27.9278309,84.4813302,359.0,541983.1971265202,5609550.959152537,2967443.0078666424,99.10380517906843,-0.20180859820529912,1.6428118984165467
2166,27.927426,84.4822688,362.1,541893.5965497859,5609583.576337074,2967404.899507914,102.68588551094403,3.0189153889797558,0.9601313687422112
2167,27.92726,84.4827138,361.5,541850.8096620895,5609595.872050514,2967388.39962286,47.477874158049794,-1.263746556980782,3.969840075150369
2168,27.9271677,84.4830359,364.8,541820.0171323637,5609606.610304318,2967380.927078755,33.45637304107869,9.863591597176947,3.192034739488768
2169,27.927121,84.4832137,367.1,541803.0388682998,5609612.737943034,2967377.4414891694,18.38365419634322,12.511114359720253,0.6199059300842604
2170,27.9270775,84.48343,369.0,541782.241163522,5609618.711732635,2967374.081209475,21.897994562326154,8.676593624097357,3.819241713672449
2171,27.926993,84.4836375,369.2,541762.3660991548,5609625.234903894,2967365.918852649,22.454264980860977,0.890699384595576,2.144473175462217
2172,27.9268689,84.4839182,367.5,541735.3613287655,5609632.834221636,2967352.997533136,30.8863683827661,-5.50404624762732,2.4533450787731463
2173,27.9267506,84.4841302,365.6,541715.0366314295,5609639.306959119,2967340.549224768,24.69716650859746,-7.69319022624947,1.9479936947988523
