fid,field_1,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,distance,angle,y,x,z
"802","6465",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,30.00805313,0.000300517,109.6589541,27.9935417,84.1732362,525.3
"803","6467",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,25.99819464,0.000257461,116.5550988,27.9934266,84.1734665,526.3
"804","6469",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,127.4789051,0.001257531,118.6846393,27.992823,84.1745697,527.5
"805","6471",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,92.91034505,0.000917166,118.305833,27.9923881,84.1753772,527.3
"806","6473",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,81.71445088,0.000807113,117.9906412,27.9920093,84.1760899,524.1
"807","6477",Prithvi Highway,"216643914","5112",trunk,H04,B,"0",T,F,26.9334522,0.000264386,121.2610854,27.9918721,84.1763159,524.7
"808","6479",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,60.53426569,0.00059492,120.6515885,27.9915688,84.1768277,530.4
"809","6481",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,55.92372303,0.000547403,122.7088128,27.991273,84.1772883,534.8
"810","6483",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,121.8299166,0.001201975,118.6013293,27.9906976,84.1783436,539.4
"811","6485",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,71.36959529,0.000708114,115.4685632,27.9903931,84.1789829,535.3
"812","6487",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,72.98815911,0.000724172,115.4681073,27.9900817,84.1796367,534.5
"813","6489",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,88.93704058,0.000884981,113.7554205,27.9897252,84.1804467,541.6
"814","6491",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,53.03670268,0.000531468,109.2020289,27.9895504,84.1809486,545.4
"815","6493",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,95.5264206,0.000959846,107.2041078,27.9892665,84.1818655,548.4
"816","6495",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,30.2007675,0.00030346,107.1929585,27.9891768,84.1821554,546.7
"817","6497",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,15.32746575,0.000154006,107.2230808,27.9891312,84.1823025,545.7
"818","6499",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,17.2857853,0.000173724,107.0372592,27.9890803,84.1824686,545.4
"819","6501",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,89.11946917,0.000895669,107.0288894,27.988818,84.183325,548.2
"820","6503",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,165.7445493,0.001665755,107.0316678,27.9883301,84.1849177,549.1
"821","6505",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,123.3100619,0.001235726,109.1563501,27.9879246,84.186085,557
"822","6507",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,12.82143707,0.000128493,109.1259055,27.9878825,84.1862064,557.2
"823","6509",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,2.083345162,2.09e-05,109.3030003,27.9878756,84.1862261,557.3
"825","6513",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,27.4634916,0.000271344,117.8116469,27.9875804,84.1869041,560.9
"826","6515",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,49.05583928,0.000476704,126.2977762,27.9872982,84.1872883,560.8
"827","6517",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,29.55000567,0.000284401,130.9509213,27.9871118,84.1875031,560.7
"828","6519",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,95.96007998,0.000927798,128.7475727,27.9865311,84.1882267,556.2
"829","6521",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,62.27571988,0.000605348,126.1505435,27.986174,84.1887155,557.5
"830","6523",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,13.7031361,0.000133992,123.2156774,27.9861006,84.1888276,558.1
"831","6525",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,19.47255188,0.000191361,120.6659321,27.986003,84.1889922,557.7
"832","6527",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,21.39899313,0.00021401,110.5435113,27.9859279,84.1891926,556.3
"833","6529",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,31.89390393,0.000319131,110.2009193,27.9858177,84.1894921,555.3
"834","6531",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,112.6718981,0.001128102,109.7713509,27.9854361,84.1905537,553.1
"835","6533",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,58.96940147,0.000591536,108.4288229,27.9852491,84.1911149,550.5
"836","6535",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,40.71777266,0.000412428,99.39152186,27.9851818,84.1915218,549.4
"837","6537",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,56.46946051,0.000572855,97.06919066,27.9851113,84.1920903,547.5
"838","6539",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,20.6043078,0.000205753,111.5273433,27.9850358,84.1922817,547
"839","6541",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,51.16975512,0.000495758,127.7482793,27.9847323,84.1926737,549.6
"840","6543",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,70.05495331,0.000684196,123.808519,27.9843516,84.1932422,546.7
"841","6545",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,54.73496135,0.000530682,127.3967803,27.9840293,84.1936638,548.8
"842","6547",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,136.1675461,0.001339553,120.1098852,27.9833573,84.1948226,539.2
"843","6549",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,27.40497492,0.000265253,128.2178865,27.9831932,84.195031,542.2
"844","6551",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,63.29436163,0.000598512,139.512923,27.982738,84.1954196,539.6
"845","6553",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,28.19894895,0.000276502,121.7989128,27.9825923,84.1956546,539.3
"846","6555",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,169.792474,0.001720064,99.1660599,27.9823183,84.1973527,538.8
"847","6557",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,47.95310707,0.000486711,96.05028977,27.982267,84.1978367,537
"848","6559",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,25.88975869,0.000263067,93.02881365,27.9822531,84.1980994,534.5
"849","6561",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,121.782614,0.001236593,84.90121359,27.982363,84.1993311,536.6
"850","6563",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,38.7003453,0.000393113,85.88634592,27.9823912,84.1997232,533.5
"851","6565",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,236.7475334,0.002404691,85.69284852,27.9825718,84.2021211,531.1
"852","6567",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,111.3208194,0.001131192,87.15732394,27.9826279,84.2032509,521.8
"853","6569",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,128.0949963,0.001301783,87.6622454,27.982681,84.2045516,520.9
"854","6571",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,42.95311895,0.000436612,89.58006594,27.9826842,84.2049882,519.7
"855","6573",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,91.46426687,0.000928305,96.12821585,27.9825851,84.2059112,515.5
"856","6575",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,113.4303159,0.001150684,97.04349262,27.982444,84.2070532,518.1
"857","6577",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,24.63293517,0.000247776,106.3138524,27.9823744,84.207291,516.2
"858","6579",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,20.46773954,0.000198233,127.9104735,27.9822526,84.2074474,515
"859","6581",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,40.22955119,0.000379528,140.6776651,27.981959,84.2076879,513.4
"860","6583",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,48.04567281,0.000449041,145.5525921,27.9815887,84.2079419,507.3
"861","6585",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,25.48996387,0.000239035,143.7629143,27.9813959,84.2080832,504.8
"862","6587",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,37.26477068,0.000351173,141.2306251,27.9811221,84.2083031,508.8
"863","6589",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,120.6504384,0.001151739,134.8663289,27.9803096,84.2091194,508
"864","6591",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,146.8562104,0.001400997,135.1764009,27.9793159,84.210107,506.2
