id,fid,X,Y,Z,name,ref,oneway,maxspeed,bridge,tunnel
236,8,507790.9069,3113200.418,660.7,Prithvi Highway,H04,B,0,F,F
237,8,507826.4338,3113156.249,658.9,Prithvi Highway,H04,B,0,F,F
238,8,507861.4018,3113110.773,658.9,Prithvi Highway,H04,B,0,F,F
239,8,507991.2995,3112939.888,658,Prithvi Highway,H04,B,0,F,F
240,163,508001.8287,3112926,657.2,Prithvi Highway,H04,B,0,F,F
241,163,508007.3538,3112918.856,656.8,Prithvi Highway,H04,B,0,F,F
242,163,508036.5129,3112881.056,654.5,Prithvi Highway,H04,B,0,F,F
243,163,508089.4626,3112814.35,651.9,Prithvi Highway,H04,B,0,F,F
244,163,508144.7145,3112757.84,651.4,Prithvi Highway,H04,B,0,F,F
245,163,508211.3595,3112689.659,651,Prithvi Highway,H04,B,0,F,F
246,163,508313.7458,3112586.253,650,Prithvi Highway,H04,B,0,F,F
247,163,508324.1553,3112576.022,650.1,Prithvi Highway,H04,B,0,F,F
248,163,508326.6621,3112573.286,650.2,Prithvi Highway,H04,B,0,F,F
249,163,508380.5313,3112516.577,651,Prithvi Highway,H04,B,0,F,F
250,163,508436.9354,3112459.76,648.9,Prithvi Highway,H04,B,0,F,F
251,163,508564.5983,3112331.818,644.2,Prithvi Highway,H04,B,0,F,F
252,163,508636.3908,3112256.429,645.7,Prithvi Highway,H04,B,0,F,F
253,163,508706.4315,3112173.05,640.2,Prithvi Highway,H04,B,0,F,F
254,163,508777.7598,3112089.994,643.3,Prithvi Highway,H04,B,0,F,F
255,163,508816.567,3112042.872,640.6,Prithvi Highway,H04,B,0,F,F
256,163,508953.0037,3111884.513,637.8,Prithvi Highway,H04,B,0,F,F
257,163,509086.0653,3111725.267,636,Prithvi Highway,H04,B,0,F,F
258,163,509092.9092,3111716.34,635.2,Prithvi Highway,H04,B,0,F,F
259,163,509101.7903,3111702.618,633.8,Prithvi Highway,H04,B,0,F,F
260,163,509117.7097,3111669.697,632.4,Prithvi Highway,H04,B,0,F,F
261,163,509128.1486,3111635.365,633,Prithvi Highway,H04,B,0,F,F
262,163,509149.8116,3111554.645,632.4,Prithvi Highway,H04,B,0,F,F
263,163,509199.7519,3111377.752,629.4,Prithvi Highway,H04,B,0,F,F
