fid,X,Y,Z,bridge,osm_id,code,fclass,name,ref,oneway,maxspeed,tunnel,len,Length,vertex_index,vertex_part,vertex_part_index,distance,angle,
1006,611050.1066,3069258.357,759.309,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,26,0,26,1347.509613,287.531156,FALSE
1006,611034.7076,3069263.37,756.356,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,27,0,27,1363.703976,291.5327048,FALSE
1006,611015.4363,3069272.37,752.596,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,28,0,28,1384.97338,295.1699161,FALSE
1006,610987.2212,3069285.711,750.868,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,29,0,29,1416.183406,298.0079508,FALSE
1006,610954.6421,3069305.063,751.348,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,30,0,30,1454.076568,302.2580175,FALSE
1006,610916.7922,3069330.407,755.733,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,31,0,31,1499.627962,302.9678645,FALSE
1006,610867.1848,3069361.562,764.065,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,32,0,32,1558.207125,304.043492,FALSE
1006,610827.9857,3069389.997,765.532,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,33,0,33,1606.633488,305.4072653,FALSE
1006,610799.872,3069409.578,764.074,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,34,0,34,1640.894449,308.8629515,FALSE
1006,610782.409,3069425.788,759.116,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,35,0,35,1664.721132,315.114684,FALSE
1006,610766.7332,3069442.812,758.037,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,36,0,36,1687.862943,318.7004153,FALSE
1006,610735.7496,3069479.789,759.496,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,37,0,37,1736.104907,319.7736943,FALSE
1006,610720.1813,3069498.022,762.854,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,38,0,38,1760.080158,315.1699144,FALSE
1006,610651.435,3069557.43,760.424,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,39,0,39,1850.939145,306.1532431,FALSE
1006,610637.6819,3069565.849,759.339,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,40,0,40,1867.064793,300.6044121,FALSE
1006,610624.1222,3069573.594,755.409,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,41,0,41,1882.680563,301.1724648,FALSE
1006,610619.3912,3069576.621,753.507,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,42,0,42,1888.296961,297.3938791,FALSE
1006,610612.8491,3069579.288,751.782,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,43,0,43,1895.361678,288.4720575,FALSE
1006,610599.7624,3069582.737,750.179,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,44,0,44,1908.895365,284.7569267,FALSE
1006,610563.3393,3069592.325,752.095,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,45,0,45,1946.559235,285.0672883,FALSE
1006,610519.2512,3069604.458,753.33,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,46,0,46,1992.286491,289.9741428,FALSE
1006,610490.5761,3069617.563,752.378,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,47,0,47,2023.81419,296.0352728,FALSE
1006,610477.964,3069624.131,751.732,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,48,0,48,2038.034051,300.4051517,FALSE
1006,610466.2489,3069631.827,750.319,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,49,0,49,2052.050713,304.8063523,FALSE
1006,610441.9085,3069649.714,748.395,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,50,0,50,2082.256994,310.129948,FALSE
1006,610415.1994,3069675.46,746.839,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,51,0,51,2119.35447,320.5166163,FALSE
1006,610403.8886,3069692.934,750.08,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,52,0,52,2140.169801,327.114531,FALSE
1006,610387.757,3069717.912,751.59,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,53,0,53,2169.903682,328.0815876,FALSE
1006,610360.0945,3069763.985,748.447,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,54,0,54,2223.643682,328.3351543,FALSE
1006,610343.0582,3069790.883,748.145,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,55,0,55,2255.482654,325.8057943,FALSE
1006,610323.3281,3069818,749.933,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,56,0,56,2289.017874,323.6091917,FALSE
1006,610303.7042,3069844.287,747.538,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,57,0,57,2321.821765,320.3302961,FALSE
1006,610267.4153,3069883.755,746.478,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,58,0,58,2375.437048,317.1051439,FALSE
1006,610237.1876,3069915.952,747.086,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,59,0,59,2419.600275,317.2549063,FALSE
1006,610205.9349,3069950.302,748.771,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,60,0,60,2466.039619,317.3124029,FALSE
1006,610190.2132,3069967.115,749.633,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,61,0,61,2489.058507,310.5063063,FALSE
1006,610178.7247,3069974.891,749.677,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,62,0,62,2502.930976,298.6232774,FALSE
1006,610165.1241,3069980.708,749.803,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,63,0,63,2517.7233,290.6936294,FALSE
1006,610152.3861,3069984.903,748.963,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,64,0,64,2531.134411,278.3299191,FALSE
1006,610134.8887,3069984.423,748.349,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,65,0,65,2548.638432,261.7037033,FALSE
1006,610069.153,3069966.783,742.875,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,66,0,66,2616.6999,255.4620274,FALSE
1006,610047.5195,3069961.367,743.154,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,67,0,67,2639.000974,262.1581018,FALSE
1006,610025.8031,3069960.75,744.387,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,68,0,68,2660.726137,268.4852542,FALSE
1006,610004.9239,3069960.239,747.138,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,69,0,69,2681.611609,273.9414729,FALSE
1006,609983.466,3069963.747,748.706,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,70,0,70,2703.354264,283.4393183,FALSE
1006,609957.202,3069972.076,749.693,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,71,0,71,2730.907306,290.1309439,FALSE
1006,609901.1226,3069995.496,746.983,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,72,0,72,2791.680596,290.8114138,FALSE
1006,609886.5039,3070000.517,745.219,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,73,0,73,2807.137573,284.9057222,FALSE
1006,609867.3519,3070004.189,743.967,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,74,0,74,2826.638507,279.2061903,FALSE
1006,609850.303,3070006.451,742.98,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,75,0,75,2843.836789,272.7738255,FALSE
1006,609830.7369,3070005.765,741.583,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,76,0,76,2863.414992,263.8322469,FALSE
1006,609809.8087,3070001.952,739.967,F,303111426,5112,trunk,Prithvi Rajmarg,H04,B,0,F,10837.49193,8298.332932,77,0,77,2884.687711,254.0695758,FALSE
