id,lat,lon,alt,x,y,z,length,grade,hz. angle
3776,27.8091372,84.6925695,305.9,521865.12460539845,5617614.23602414,2955815.0776918666,10.609576958840412,-12.253080448384782,6.155706916149523
3777,27.8091211,84.6926709,305.3,521855.2110066787,5617615.463725903,2955813.223037035,10.1600411287459,-5.905487904988694,6.646685530540528
3778,27.8090842,84.6928141,306.8,521841.4708102132,5617619.997227102,2955810.313643878,14.75839424096949,10.163707348567643,11.200442200450619
3779,27.8090428,84.6929612,310.7,521827.5661762668,5617626.912633848,2955808.083766005,15.688659948634402,24.858719691604044,8.183229172716652
3780,27.8089812,84.6931082,315.0,521813.8010674773,5617635.223959261,2955804.064727816,16.574348194153004,25.943704992977878,4.680187651116114
3781,27.8089284,84.6932068,316.9,521804.5427576212,5617640.525678002,2955799.7867492842,11.494591046395284,16.529513684576184,1.3260695837468484
3782,27.8088649,84.6933151,318.6,521794.3684139686,5617646.292887223,2955794.3688905765,12.889187869427376,13.18934922216764,0.25113354266183363
3783,27.8087404,84.69346,322.0,521781.03760035796,5617657.045003534,2955783.7776783616,20.1368411841382,16.88447541950204,9.34206692123573
3784,27.8086277,84.6936196,320.7,521765.8243074856,5617663.181357804,2955772.1479608943,20.108442309411338,-6.464946314571435,16.92137942242895
3785,27.8083673,84.6939102,323.2,521738.78702077694,5617681.495002016,2955747.844361589,40.70711702042073,6.141432218709752,12.144739587676856
3786,27.8082572,84.6940867,322.9,521721.9859268988,5617688.531330987,2955736.935434043,21.23184827293035,-1.4129716647537363,11.387634065437387
3787,27.8081754,84.6942565,321.8,521705.6403721901,5617693.338594954,2955728.421336632,19.04670050973683,-5.7752785026342845,6.335298087174636
3788,27.808077,84.6944704,320.6,521685.042440376,5617699.317655514,2955718.236922173,23.743341341797468,-5.054048555025927,0.2020454697199241
3789,27.8080071,84.694683,318.5,521664.36147190543,5617703.018390677,2955710.4202588317,22.416469914238736,-9.368111964257682,6.041324193922894
3790,27.8079501,84.6949051,316.2,521642.67073360755,5617705.962324536,2955703.7720564893,22.87692000384365,-10.05380094703998,2.4162253790166073
3791,27.8078754,84.695246,317.8,521609.73584493116,5617714.337819307,2955697.211981221,34.610553192692116,4.6228674563279055,6.539004653187326
3792,27.8078003,84.695621,319.7,521573.48389731697,5617723.308435535,2955690.752724862,37.89983712420395,5.0132141564972095,0.36937831761797923
3793,27.8077377,84.6959176,318.7,521544.6216800545,5617728.364673651,2955684.163233046,30.03355675880205,-3.3296089704957312,3.962207905205839
3794,27.8076583,84.6961405,318.4,521523.1234389021,5617734.235157612,2955676.2570626214,23.646236177585717,-1.2687008526303292,5.336743078024317
3795,27.807553,84.6963494,316.0,521502.95046363526,5617739.46786155,2955664.8379143625,23.76398679889183,-10.09931549074878,0.7317239452736963
3796,27.8074382,84.6965511,311.1,521483.3246106072,5617742.924342901,2955651.3233012483,24.078333373444313,-20.350245691855587,4.553139011887901
3797,27.8073525,84.6966827,307.1,521470.5058143493,5617745.030646374,2955641.0748570594,16.54656037108143,-24.17420847773798,0.657331089227699
