X,Y,Z,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
85.18392444,27.74603408,1082.255,"0","0","116",1082.255,,,,,,,,,,,,,,,,,,,,,,
85.18454141,27.74859258,1070.366,"0","0","117",1070.366,,,,,,,,,,,,,,,,,,,,,,
85.18582026,27.75127216,1096.364,"0","0","118",1096.364,,,,,,,,,,,,,,,,,,,,,,
85.18940848,27.75072571,1110.351,"0","0","119",1110.351,,,,,,,,,,,,,,,,,,,,,,
85.19045202,27.74783319,1128.861,"0","0","120",1128.861,,,,,,,,,,,,,,,,,,,,,,
85.19657054,27.74803389,1177.06,"0","0","121",1177.06,,,,,,,,,,,,,,,,,,,,,,
85.20051403,27.74535527,1234.451,"0","0","122",1234.451,,,,,,,,,,,,,,,,,,,,,,
85.2031948,27.74711222,1230.81,"0","0","123",1230.81,,,,,,,,,,,,,,,,,,,,,,
85.20921878,27.74784322,1257.097,"0","0","124",1257.097,,,,,,,,,,,,,,,,,,,,,,
85.21490673,27.75154973,1295.248,"0","0","125",1295.248,,,,,,,,,,,,,,,,,,,,,,
85.21880909,27.74666151,1347.473,"0","0","126",1347.473,,,,,,,,,,,,,,,,,,,,,,
85.22108062,27.74363121,1372.552,"0","0","127",1372.552,,,,,,,,,,,,,,,,,,,,,,
85.22428604,27.74190042,1406.068,"0","0","128",1406.068,,,,,,,,,,,,,,,,,,,,,,
85.22757514,27.74128938,1419.877,"0","0","129",1419.877,,,,,,,,,,,,,,,,,,,,,,
85.2297584,27.74023296,1435.047,"0","0","130",1435.047,,,,,,,,,,,,,,,,,,,,,,
85.22898293,27.73835303,1453.407,"0","0","131",1453.407,,,,,,,,,,,,,,,,,,,,,,
85.22800155,27.73629633,1457.595,"0","0","132",1457.595,,,,,,,,,,,,,,,,,,,,,,
85.23026389,27.73479486,1467.038,"0","0","133",1467.038,,,,,,,,,,,,,,,,,,,,,,
85.232786455,27.729262514,1499.463,"0","0","134",1499.463,,,,,,,,,,,,,,,,,,,,,,
85.232066695,27.725317867,1564.832,"0","0","135",1564.832,,,,,,,,,,,,,,,,,,,,,,
85.235742217,27.726896516,1442.673,"0","0","136",1442.673,,,,,,,,,,,,,,,,,,,,,,
85.239746144,27.727874122,1399.202,"0","0","137",1399.202,,,,,,,,,,,,,,,,,,,,,,
85.248325459,27.723322356,1379.811,"0","0","138",1379.811,,,,,,,,,,,,,,,,,,,,,,
85.28298488,27.7077505,1308.935,"0","0","139",1308.935,,,,,,,,,,,,,,,,,,,,,,
